feature,importance
close_lag_3,0.043259982
close_lag_1,0.031445395
spy_return_1d,0.030764364
vix,0.029041408
return_5d,0.02704251
xlk_return_1d,0.026517086
day_of_month,0.024862116
return_1d,0.024371494
days_to_earnings,0.024106948
day_of_week_sin,0.02365906
xlk_return_5d,0.023109104
volume_lag_1,0.022849882
return_20d,0.022216942
day_of_week_cos,0.021957746
volume_lag_3,0.02191201
atr,0.021759238
return_lag_1,0.021630555
vpt,0.02143272
spy_return_5d,0.021025678
volume_lag_10,0.020715468
macd,0.020456212
rsi,0.020429906
volume_ma_ratio,0.020061553
bb_position,0.01967382
bb_mid,0.019670995
return_10d,0.019647105
close_lag_5,0.019629061
return_lag_2,0.019481586
stoch_d,0.019420383
close_lag_10,0.019392619
macd_diff,0.01925371
day_of_week,0.017994964
return_lag_3,0.017407918
atr_ratio,0.016934186
bb_high,0.016908772
close_position,0.016874326
volume_lag_2,0.016743843
volume_lag_5,0.015697492
stoch_k,0.015593051
bb_width,0.01542352
return_lag_5,0.015410892
hl_spread,0.015301249
ema,0.015169084
macd_signal,0.014540285
bb_low,0.014296479
return_lag_10,0.0127263805
volume_change,0.012680903
month,0.012011436
close_lag_2,0.008873521
sma,0.008615053
quarter,0.0
price_momentum,0.0
